,time_period,roadmap_group,prediction
328,2021-07-01,C Series-23.8,161.31834660040244
329,2021-08-01,C Series-23.8,184.81015891987082
330,2021-09-01,C Series-23.8,116.0761031285804
331,2021-10-01,C Series-23.8,138.74028336048315
332,2018-01-01,C Series-23.8-AMD,
333,2018-02-01,C Series-23.8-AMD,
334,2018-03-01,C Series-23.8-AMD,
335,2018-04-01,C Series-23.8-AMD,
336,2018-05-01,C Series-23.8-AMD,
337,2018-06-01,C Series-23.8-AMD,
338,2018-07-01,C Series-23.8-AMD,
339,2018-08-01,C Series-23.8-AMD,
340,2018-09-01,C Series-23.8-AMD,
341,2018-10-01,C Series-23.8-AMD,
342,2018-11-01,C Series-23.8-AMD,
343,2018-12-01,C Series-23.8-AMD,
344,2019-01-01,C Series-23.8-AMD,1857.7411983652833
345,2019-02-01,C Series-23.8-AMD,1892.7417934353002
346,2019-03-01,C Series-23.8-AMD,1548.5024726865006
347,2019-04-01,C Series-23.8-AMD,1791.299341820389
348,2019-05-01,C Series-23.8-AMD,1467.656492208395
349,2019-06-01,C Series-23.8-AMD,3579.4423528754933
350,2019-07-01,C Series-23.8-AMD,1644.013333371728
351,2019-08-01,C Series-23.8-AMD,1613.1951170594245
352,2019-09-01,C Series-23.8-AMD,1749.5816906369744
353,2019-10-01,C Series-23.8-AMD,808.5714572026654
354,2019-11-01,C Series-23.8-AMD,1822.0361992345704
355,2019-12-01,C Series-23.8-AMD,634.0598920410567
356,2020-01-01,C Series-23.8-AMD,1192.956912015879
357,2020-02-01,C Series-23.8-AMD,379.7889917634068
358,2020-03-01,C Series-23.8-AMD,1146.2564381067407
359,2020-04-01,C Series-23.8-AMD,590.8976645661226
360,2020-05-01,C Series-23.8-AMD,854.3575449205479
361,2020-06-01,C Series-23.8-AMD,995.389348049362
362,2020-07-01,C Series-23.8-AMD,376.0354241571282
363,2020-08-01,C Series-23.8-AMD,697.0241693777072
364,2020-09-01,C Series-23.8-AMD,769.574448959166
365,2020-10-01,C Series-23.8-AMD,75.2530322871764
366,2020-11-01,C Series-23.8-AMD,451.5806994206929
367,2020-12-01,C Series-23.8-AMD,922.5362152400339
368,2021-01-01,C Series-23.8-AMD,1263.028777644542
369,2021-02-01,C Series-23.8-AMD,1383.5247990714383
370,2021-03-01,C Series-23.8-AMD,1996.634449250925
371,2021-04-01,C Series-23.8-AMD,3194.243670869803
372,2021-05-01,C Series-23.8-AMD,2283.321483603412
373,2021-06-01,C Series-23.8-AMD,1923.5702978519869
374,2021-07-01,C Series-23.8-AMD,1280.9971415633092
375,2021-08-01,C Series-23.8-AMD,1728.2218973423876
376,2021-09-01,C Series-23.8-AMD,2066.0140121962568
377,2021-10-01,C Series-23.8-AMD,1439.3035141219925
378,2021-11-01,C Series-23.8-AMD,2702.6463046279505
379,2017-07-01,C Series-23.8-Mainstream,
380,2017-08-01,C Series-23.8-Mainstream,
381,2017-09-01,C Series-23.8-Mainstream,
382,2017-10-01,C Series-23.8-Mainstream,
383,2017-11-01,C Series-23.8-Mainstream,
384,2017-12-01,C Series-23.8-Mainstream,
385,2018-01-01,C Series-23.8-Mainstream,
386,2018-02-01,C Series-23.8-Mainstream,
387,2018-03-01,C Series-23.8-Mainstream,
388,2018-04-01,C Series-23.8-Mainstream,
389,2018-05-01,C Series-23.8-Mainstream,
390,2018-06-01,C Series-23.8-Mainstream,
391,2018-07-01,C Series-23.8-Mainstream,5052.585493542243
392,2018-08-01,C Series-23.8-Mainstream,5542.632840093125
393,2018-09-01,C Series-23.8-Mainstream,6160.209170986509
394,2018-10-01,C Series-23.8-Mainstream,8240.716355150535
395,2018-11-01,C Series-23.8-Mainstream,7272.817228532359
396,2018-12-01,C Series-23.8-Mainstream,7267.34610923957
397,2019-01-01,C Series-23.8-Mainstream,7485.2352451999195
398,2019-02-01,C Series-23.8-Mainstream,7233.277964319115
399,2019-03-01,C Series-23.8-Mainstream,6979.490528868379
400,2019-04-01,C Series-23.8-Mainstream,6090.168587434009
401,2019-05-01,C Series-23.8-Mainstream,7022.743980621324
402,2019-06-01,C Series-23.8-Mainstream,8277.884494285685
403,2019-07-01,C Series-23.8-Mainstream,8505.046558566462
404,2019-08-01,C Series-23.8-Mainstream,7427.826998784121
405,2019-09-01,C Series-23.8-Mainstream,8947.814366781658
406,2019-10-01,C Series-23.8-Mainstream,4274.903442756987
407,2019-11-01,C Series-23.8-Mainstream,4705.164147383425
408,2019-12-01,C Series-23.8-Mainstream,7511.522583543249
409,2020-01-01,C Series-23.8-Mainstream,5940.824037099622
410,2020-02-01,C Series-23.8-Mainstream,3597.805468166476
411,2020-03-01,C Series-23.8-Mainstream,6535.340493266577
412,2020-04-01,C Series-23.8-Mainstream,6253.577529269201
413,2020-05-01,C Series-23.8-Mainstream,6385.959110946139
414,2020-06-01,C Series-23.8-Mainstream,14058.455495465802
415,2020-07-01,C Series-23.8-Mainstream,3928.732444480409
416,2020-08-01,C Series-23.8-Mainstream,6637.586351501863
417,2020-09-01,C Series-23.8-Mainstream,12366.281443286296
418,2020-10-01,C Series-23.8-Mainstream,13094.728158839946
419,2020-11-01,C Series-23.8-Mainstream,11844.981591119042
420,2020-12-01,C Series-23.8-Mainstream,14362.643457004433
421,2021-01-01,C Series-23.8-Mainstream,13484.651426501538
422,2021-02-01,C Series-23.8-Mainstream,14278.261367500269
423,2021-03-01,C Series-23.8-Mainstream,17252.7118268357
424,2021-04-01,C Series-23.8-Mainstream,14062.841283658854
425,2021-05-01,C Series-23.8-Mainstream,14524.638802107256
426,2021-06-01,C Series-23.8-Mainstream,19716.510793003163
427,2021-07-01,C Series-23.8-Mainstream,14890.992052222968
428,2021-08-01,C Series-23.8-Mainstream,13276.819917582767
429,2021-09-01,C Series-23.8-Mainstream,12782.636360825696
430,2021-10-01,C Series-23.8-Mainstream,9258.299300775563
431,2021-11-01,C Series-23.8-Mainstream,10900.364114222943
432,2018-09-01,C Series-27,
433,2018-10-01,C Series-27,
434,2018-11-01,C Series-27,
435,2018-12-01,C Series-27,
436,2019-01-01,C Series-27,
437,2019-02-01,C Series-27,
438,2019-03-01,C Series-27,
439,2019-04-01,C Series-27,
440,2019-05-01,C Series-27,
441,2019-06-01,C Series-27,
442,2019-07-01,C Series-27,
443,2019-08-01,C Series-27,
444,2019-09-01,C Series-27,1303.8239548340568
445,2019-10-01,C Series-27,1552.5184965531996
446,2019-11-01,C Series-27,1359.935090073293
447,2019-12-01,C Series-27,1103.0267651032389
448,2020-01-01,C Series-27,1341.4802105877382
449,2020-02-01,C Series-27,1703.5758351784993
450,2020-03-01,C Series-27,2344.937918251546
451,2020-04-01,C Series-27,4762.626271811322
452,2020-05-01,C Series-27,3027.176598856579
453,2020-06-01,C Series-27,5006.7405012567215
454,2020-07-01,C Series-27,5418.252971222851
455,2020-08-01,C Series-27,7023.444150554038
456,2020-09-01,C Series-27,7002.634490161213
457,2020-10-01,C Series-27,8912.27726607286
