,time_period,roadmap_group,prediction,Horizon
289,2018-04-01,C Series-23.8,,1
290,2018-05-01,C Series-23.8,,1
291,2018-06-01,C Series-23.8,,1
292,2018-07-01,C Series-23.8,,1
293,2018-08-01,C Series-23.8,,1
294,2018-09-01,C Series-23.8,,1
295,2018-10-01,C Series-23.8,459.6502771731292,1
296,2018-11-01,C Series-23.8,610.9428173411155,1
297,2018-12-01,C Series-23.8,485.2811171795602,1
298,2019-01-01,C Series-23.8,172.75081287183758,1
299,2019-02-01,C Series-23.8,419.6672229036901,1
300,2019-03-01,C Series-23.8,249.03472467272516,1
301,2019-04-01,C Series-23.8,429.9884265310903,1
302,2019-05-01,C Series-23.8,693.4734143932582,1
303,2019-06-01,C Series-23.8,182.34386705757228,1
304,2019-07-01,C Series-23.8,290.3514914539627,1
305,2019-08-01,C Series-23.8,227.86227234209457,1
306,2019-09-01,C Series-23.8,-46.72669672654641,1
307,2019-10-01,C Series-23.8,297.7915473551317,1
308,2019-11-01,C Series-23.8,191.37032215316754,1
309,2019-12-01,C Series-23.8,381.50512448097334,1
310,2020-01-01,C Series-23.8,238.60241096865465,1
311,2020-02-01,C Series-23.8,258.7620692648031,1
312,2020-03-01,C Series-23.8,151.8734668680139,1
313,2020-04-01,C Series-23.8,456.59278604671147,1
314,2020-05-01,C Series-23.8,798.6918954865104,1
315,2020-06-01,C Series-23.8,658.355270663597,1
316,2020-07-01,C Series-23.8,757.9055661656902,1
317,2020-08-01,C Series-23.8,884.0177102489915,1
318,2020-09-01,C Series-23.8,877.2194469463836,1
319,2020-10-01,C Series-23.8,689.583999014222,1
320,2020-11-01,C Series-23.8,393.82173661757383,1
321,2020-12-01,C Series-23.8,415.10853786152495,1
322,2021-01-01,C Series-23.8,463.62241815396203,1
323,2021-02-01,C Series-23.8,186.36430411367945,1
324,2021-03-01,C Series-23.8,580.5086284148755,1
325,2021-04-01,C Series-23.8,305.1315927166866,1
326,2021-05-01,C Series-23.8,192.36076256450826,1
327,2021-06-01,C Series-23.8,7.248435657889132,1
328,2021-07-01,C Series-23.8,178.8233390415918,1
329,2021-08-01,C Series-23.8,232.9036896111841,1
330,2021-09-01,C Series-23.8,153.92209498074777,1
331,2021-10-01,C Series-23.8,179.29833725974868,1
332,2018-01-01,C Series-23.8-AMD,,1
333,2018-02-01,C Series-23.8-AMD,,1
334,2018-03-01,C Series-23.8-AMD,,1
335,2018-04-01,C Series-23.8-AMD,,1
336,2018-05-01,C Series-23.8-AMD,,1
337,2018-06-01,C Series-23.8-AMD,,1
338,2018-07-01,C Series-23.8-AMD,,1
339,2018-08-01,C Series-23.8-AMD,,1
340,2018-09-01,C Series-23.8-AMD,,1
341,2018-10-01,C Series-23.8-AMD,,1
342,2018-11-01,C Series-23.8-AMD,,1
343,2018-12-01,C Series-23.8-AMD,,1
344,2019-01-01,C Series-23.8-AMD,1857.475052271363,1
345,2019-02-01,C Series-23.8-AMD,1891.056277442932,1
346,2019-03-01,C Series-23.8-AMD,1553.2950687892305,1
347,2019-04-01,C Series-23.8-AMD,1774.8490366058077,1
348,2019-05-01,C Series-23.8-AMD,1471.4310531710084,1
349,2019-06-01,C Series-23.8-AMD,3581.766483012835,1
350,2019-07-01,C Series-23.8-AMD,1635.5829223435892,1
351,2019-08-01,C Series-23.8-AMD,1575.3834335997262,1
352,2019-09-01,C Series-23.8-AMD,1725.2328931165528,1
353,2019-10-01,C Series-23.8-AMD,807.4818979161594,1
354,2019-11-01,C Series-23.8-AMD,1782.924019498801,1
355,2019-12-01,C Series-23.8-AMD,639.6013396900072,1
356,2020-01-01,C Series-23.8-AMD,1172.6791303818027,1
357,2020-02-01,C Series-23.8-AMD,385.0482102955007,1
358,2020-03-01,C Series-23.8-AMD,893.2990277155124,1
359,2020-04-01,C Series-23.8-AMD,607.55774598867,1
360,2020-05-01,C Series-23.8-AMD,898.7984437754488,1
361,2020-06-01,C Series-23.8-AMD,1017.2720019101016,1
362,2020-07-01,C Series-23.8-AMD,419.1979180813752,1
363,2020-08-01,C Series-23.8-AMD,758.6019608894609,1
364,2020-09-01,C Series-23.8-AMD,848.3455123294835,1
365,2020-10-01,C Series-23.8-AMD,152.7736698967463,1
366,2020-11-01,C Series-23.8-AMD,497.0535143716905,1
367,2020-12-01,C Series-23.8-AMD,932.0446352828166,1
368,2021-01-01,C Series-23.8-AMD,1256.4317017025185,1
369,2021-02-01,C Series-23.8-AMD,1388.199554271492,1
370,2021-03-01,C Series-23.8-AMD,1985.0401855599864,1
371,2021-04-01,C Series-23.8-AMD,3179.546599589518,1
372,2021-05-01,C Series-23.8-AMD,2285.263187119705,1
373,2021-06-01,C Series-23.8-AMD,1922.1884237683564,1
374,2021-07-01,C Series-23.8-AMD,1283.737137996452,1
375,2021-08-01,C Series-23.8-AMD,1732.3422546762147,1
376,2021-09-01,C Series-23.8-AMD,2058.7679590307357,1
377,2021-10-01,C Series-23.8-AMD,1446.4481874230914,1
378,2021-11-01,C Series-23.8-AMD,2723.8494333805975,1
379,2017-07-01,C Series-23.8-Mainstream,,1
380,2017-08-01,C Series-23.8-Mainstream,,1
381,2017-09-01,C Series-23.8-Mainstream,,1
382,2017-10-01,C Series-23.8-Mainstream,,1
383,2017-11-01,C Series-23.8-Mainstream,,1
384,2017-12-01,C Series-23.8-Mainstream,,1
385,2018-01-01,C Series-23.8-Mainstream,,1
386,2018-02-01,C Series-23.8-Mainstream,,1
387,2018-03-01,C Series-23.8-Mainstream,,1
388,2018-04-01,C Series-23.8-Mainstream,,1
389,2018-05-01,C Series-23.8-Mainstream,,1
390,2018-06-01,C Series-23.8-Mainstream,,1
391,2018-07-01,C Series-23.8-Mainstream,5050.774985041497,1
392,2018-08-01,C Series-23.8-Mainstream,5540.553310602931,1
393,2018-09-01,C Series-23.8-Mainstream,6095.596886883942,1
394,2018-10-01,C Series-23.8-Mainstream,8239.974914134385,1
395,2018-11-01,C Series-23.8-Mainstream,7273.676919034116,1
396,2018-12-01,C Series-23.8-Mainstream,7273.825754198863,1
397,2019-01-01,C Series-23.8-Mainstream,7489.745906548585,1
398,2019-02-01,C Series-23.8-Mainstream,7238.443690525758,1
399,2019-03-01,C Series-23.8-Mainstream,6980.064629310793,1
400,2019-04-01,C Series-23.8-Mainstream,6087.466815313166,1
401,2019-05-01,C Series-23.8-Mainstream,7020.855163485412,1
402,2019-06-01,C Series-23.8-Mainstream,8277.030657517294,1
403,2019-07-01,C Series-23.8-Mainstream,8515.937128659514,1
